iter	Passed	Remaining
0	0	83
1	1	75
2	2	75
3	2	68
4	3	70
5	4	72
6	5	72
7	6	71
8	7	71
9	7	69
10	8	68
11	9	68
12	10	67
13	10	66
14	11	65
15	12	65
16	13	65
17	14	65
18	15	64
19	15	63
20	17	63
21	17	63
22	18	62
23	19	62
24	20	61
25	21	61
26	22	60
27	23	59
28	24	59
29	25	58
30	26	58
31	26	57
32	27	56
33	28	55
34	29	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	51
41	36	50
42	37	49
43	38	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	33
64	59	32
65	60	31
66	61	30
67	63	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
