iter	Passed	Remaining
0	1	1125
1	2	1001
2	2	960
3	3	938
4	4	930
5	5	913
6	6	900
7	7	898
8	8	894
9	8	884
10	9	875
11	10	861
12	11	856
13	12	849
14	12	849
15	13	846
16	14	845
17	15	844
18	16	840
19	17	843
20	18	843
21	19	845
22	20	850
23	20	844
24	21	841
25	22	836
26	23	832
27	23	832
28	24	833
29	25	830
30	26	827
31	27	826
32	28	823
33	28	820
34	29	819
35	30	819
36	31	818
37	32	817
38	33	816
39	33	815
40	34	814
41	35	811
42	36	812
43	37	817
44	38	814
45	39	813
46	40	811
47	40	808
48	41	806
49	42	804
50	43	803
51	43	800
52	44	799
53	45	798
54	46	798
55	47	797
56	48	796
57	49	796
58	49	797
59	50	796
60	51	793
61	52	790
62	53	789
63	53	787
64	54	785
65	55	785
66	56	784
67	57	784
68	58	782
69	58	780
70	59	780
71	60	779
72	61	778
73	62	777
74	62	776
75	63	776
76	64	774
77	65	773
78	66	771
79	66	769
80	67	767
81	68	766
82	68	760
83	69	758
84	70	756
85	70	753
86	71	752
87	72	749
88	73	747
89	73	745
90	74	744
91	75	743
92	76	743
93	76	741
94	77	739
95	78	737
96	78	734
97	79	732
98	80	730
99	80	728
100	81	726
101	82	725
102	83	724
103	83	722
104	84	721
105	85	719
106	86	717
107	86	715
108	87	713
109	87	711
110	88	709
111	89	708
112	90	707
113	90	706
114	91	704
115	92	702
116	92	700
117	93	698
118	94	696
119	94	694
120	95	693
121	95	690
122	96	688
123	97	686
124	97	685
125	98	683
126	99	681
127	99	679
128	100	678
129	101	676
130	101	674
131	102	672
132	102	671
133	103	669
134	104	668
135	105	667
136	105	666
137	106	665
138	107	664
139	108	663
140	108	662
141	109	660
142	110	659
143	110	659
144	111	657
145	112	656
146	112	655
147	113	654
148	114	653
149	115	652
150	115	651
151	116	650
152	117	649
153	118	651
154	119	650
155	120	649
156	120	648
157	121	647
158	122	646
159	122	645
160	123	643
161	124	642
162	124	640
163	125	639
164	126	638
165	126	636
166	127	635
167	128	634
168	128	632
169	129	631
170	129	630
171	130	628
172	131	627
173	131	625
174	132	625
175	133	624
176	134	623
177	134	622
178	135	621
179	136	621
180	137	620
181	137	618
182	138	617
183	139	616
184	139	615
185	140	613
186	140	612
187	141	611
188	142	609
189	142	608
190	143	607
191	144	606
192	144	604
193	145	603
194	145	602
195	146	601
196	147	600
197	147	598
198	148	597
199	149	596
200	149	595
201	150	594
202	151	593
203	151	592
204	152	591
205	153	590
206	153	588
207	154	587
208	155	586
209	155	585
210	156	584
211	156	583
212	157	582
213	158	580
214	158	579
215	159	578
216	160	577
217	160	576
218	161	575
219	161	573
220	162	572
221	163	571
222	163	570
223	164	569
224	164	567
225	165	566
226	166	565
227	166	565
228	167	564
229	168	563
230	168	561
231	169	560
232	170	559
233	170	558
234	171	557
235	171	556
236	172	555
237	173	554
238	173	553
239	174	552
240	174	551
241	175	550
242	176	548
243	176	548
244	177	547
245	178	545
246	178	544
247	179	543
248	179	542
249	180	541
250	181	540
251	181	539
252	182	539
253	183	538
254	183	537
255	184	535
256	184	534
257	185	533
258	186	532
259	186	531
260	187	530
261	188	529
262	188	528
263	189	527
264	189	526
265	190	526
266	191	525
267	191	524
268	192	523
269	193	521
270	193	520
271	194	519
272	194	518
273	195	517
274	196	516
275	196	516
276	197	515
277	198	514
278	198	513
279	199	512
280	199	511
281	200	510
282	201	509
283	201	508
284	202	507
285	202	506
286	203	505
287	204	504
288	204	503
289	205	503
290	206	502
291	206	501
292	207	500
293	208	499
294	208	499
295	209	498
296	210	497
297	210	496
298	211	495
299	212	494
300	213	494
301	213	493
302	214	492
303	214	491
304	215	490
305	216	490
306	216	489
307	217	488
308	217	487
309	218	486
310	219	485
311	219	484
312	220	484
313	221	483
314	222	483
315	222	482
316	223	481
317	224	480
318	224	479
319	225	478
320	225	477
321	226	477
322	227	476
323	228	475
324	228	475
325	229	474
326	230	473
327	230	473
328	231	472
329	232	471
330	232	470
331	233	469
332	234	468
333	234	468
334	235	467
335	236	466
336	236	465
337	237	464
338	237	464
339	238	463
340	239	462
341	239	461
342	240	460
343	241	459
344	241	458
345	242	458
346	243	458
347	244	457
348	244	456
349	245	455
350	246	455
351	246	454
352	247	453
353	248	452
354	248	452
355	249	451
356	250	450
357	250	449
358	251	448
359	251	447
360	252	446
361	253	446
362	253	445
363	254	444
364	254	443
365	255	442
366	256	441
367	256	441
368	257	440
369	258	439
370	258	438
371	259	438
372	260	437
373	260	436
374	261	435
375	262	434
376	262	434
377	263	433
378	263	432
379	264	431
380	265	430
381	265	430
382	266	429
383	266	428
384	267	427
385	268	426
386	268	425
387	269	424
388	270	424
389	270	423
390	271	422
391	271	421
392	272	421
393	273	420
394	274	419
395	274	418
396	275	418
397	275	417
398	276	416
399	277	415
400	277	414
401	278	414
402	279	413
403	279	412
404	280	411
405	280	410
406	281	410
407	282	409
408	282	408
409	283	407
410	284	407
411	284	406
412	285	405
413	285	404
414	286	403
415	287	402
416	287	402
417	288	401
418	289	400
419	289	400
420	290	399
421	290	398
422	291	397
423	292	396
424	292	396
425	293	395
426	293	394
427	294	393
428	295	392
429	295	392
430	296	391
431	296	390
432	297	389
433	298	388
434	298	387
435	299	387
436	299	386
437	300	385
438	301	384
439	301	384
440	302	383
441	302	382
442	303	381
443	304	381
444	305	380
445	305	379
446	306	379
447	307	379
448	308	378
449	309	377
450	309	376
451	310	376
452	310	375
453	311	374
454	312	373
455	312	372
456	313	372
457	313	371
458	314	370
459	315	370
460	315	369
461	316	368
462	317	367
463	317	366
464	318	366
465	319	365
466	319	365
467	320	364
468	321	363
469	321	362
470	322	362
471	323	361
472	323	360
473	324	359
